Model,R²,RMSE,MAE,MAPE,Train_Time_sec
Random Forest,0.8603790881781184,6.160515809618236,2.5911254143734856,16899.496636135664,33.27477526664734
XGBoost,0.8558471202850342,6.259698590709716,2.695848226547241,272135.3125,5.356748342514038
