Model,Test_Region,R²,RMSE,MAE,MAPE
Random Forest,NE,0.9535148102173089,4.190671346900874,2.106873473832495,12.048105119022106
XGBoost,NE,0.930855929851532,5.110974729257176,2.7674782276153564,16.893404006958008
Random Forest,NW,0.8546610601638718,4.957468477992803,1.3325815437970805,28063.391152870736
XGBoost,NW,0.8460758924484253,5.101786633368451,1.6913375854492188,78660.4296875
Random Forest,SE,0.9521715718853151,2.3399207275230594,1.0495627365529292,3610.215066970113
XGBoost,SE,0.9392058253288269,2.638087029236929,1.4494438171386719,926965.8125
Random Forest,SW,0.940801740823952,2.5953568191256466,1.2613346781481294,39558.631090666146
XGBoost,SW,0.9147720336914062,3.1141085225564615,1.711033821105957,1350544.875
