mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_num_leaves,param_n_estimators,param_min_child_samples,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1.440267006556193,0.17371371184305065,0.0356138547261556,0.004866109735913746,0.8,20,200,10,7,0.1,1.0,"{'subsample': 0.8, 'num_leaves': 20, 'n_estimators': 200, 'min_child_samples': 10, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.4411919537585456,0.6245562298273218,0.5278451596631861,0.5311977810830179,0.07489568072701805,19,0.7644463139272064,0.7527311329867346,0.761397944800813,0.7595251305715847,0.004962656611795671
10.963536421457926,0.8535652827575049,0.1253648598988851,0.016560549015129444,0.6,70,500,20,7,0.02,0.7,"{'subsample': 0.6, 'num_leaves': 70, 'n_estimators': 500, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.02, 'colsample_bytree': 0.7}",0.4716043906356058,0.6283627993897154,0.5416616515312289,0.5472096138521834,0.06411648042542664,14,0.7696710444021118,0.7353649017631603,0.7597091718167788,0.7549150393273503,0.01440984930376134
2.80129337310791,0.07737180437861747,0.07921258608500163,0.023116155352724186,0.6,20,400,10,6,0.01,0.6,"{'subsample': 0.6, 'num_leaves': 20, 'n_estimators': 400, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.3213863224242105,0.48357865315327364,0.4125431290051148,0.40583603486086633,0.06638437000141077,45,0.5909032053022096,0.5203742569224681,0.5737056307115554,0.5616610309787444,0.03002651524825779
6.906140963236491,0.34076914297550726,0.06165353457132975,0.0045095548906637336,0.9,70,300,20,10,0.01,0.9,"{'subsample': 0.9, 'num_leaves': 70, 'n_estimators': 300, 'min_child_samples': 20, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",0.4764425871544611,0.6300338515507313,0.5656921197414149,0.5573895194822024,0.06297760979379605,8,0.7637003082999977,0.7248893147402196,0.7380452832112998,0.7422116354171724,0.016116082512029593
1.8556256294250488,0.07086311496632253,0.04786761601765951,0.0015562873311649084,0.9,20,300,50,7,0.05,1.0,"{'subsample': 0.9, 'num_leaves': 20, 'n_estimators': 300, 'min_child_samples': 50, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.415518030881842,0.6070601121605055,0.5447309418318935,0.522436361624747,0.07976999626049967,23,0.7231075541115315,0.6839411188429376,0.7054169247401445,0.7041551992315379,0.016014501269298397
3.4109954039255777,0.677713785603723,0.057444095611572266,0.013549523353844316,0.8,50,200,50,7,0.1,0.9,"{'subsample': 0.8, 'num_leaves': 50, 'n_estimators': 200, 'min_child_samples': 50, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",0.47074224002751863,0.6281973339067852,0.5580703620905525,0.5523366453416187,0.06440850501784122,11,0.7938974225094555,0.7522580162099985,0.7881021188240775,0.7780858525145105,0.018415649727535892
4.7511528333028155,0.09503564439920266,0.07157516479492188,0.014907085539280756,1.0,20,500,10,8,0.15,0.6,"{'subsample': 1.0, 'num_leaves': 20, 'n_estimators': 500, 'min_child_samples': 10, 'max_depth': 8, 'learning_rate': 0.15, 'colsample_bytree': 0.6}",0.46140624715593814,0.6391099023318676,0.5728538530859437,0.5577900008579165,0.0733250161890301,7,0.8647350027820888,0.8598447976544825,0.8661417601688859,0.8635738535351525,0.0026986582971538584
6.857025702794393,0.1342094977811166,0.11914745966593425,0.06657215863255031,0.7,31,500,10,10,0.05,1.0,"{'subsample': 0.7, 'num_leaves': 31, 'n_estimators': 500, 'min_child_samples': 10, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.5033262206288232,0.672080303229653,0.5806218993444907,0.5853428077343222,0.06897439298092595,2,0.859645694754295,0.8581404288224476,0.8497749829367757,0.8558537021711726,0.004342010059052279
5.057499011357625,0.5874914827153356,0.09576352437337239,0.03322637148720159,0.6,31,400,30,7,0.05,0.6,"{'subsample': 0.6, 'num_leaves': 31, 'n_estimators': 400, 'min_child_samples': 30, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",0.43450212337871885,0.6205962933714327,0.555910509466008,0.5370029754053866,0.0771400508145604,17,0.7578741676525524,0.726344877070181,0.7639736708470648,0.7493975718565995,0.01648981579625817
1.7299559116363525,0.493580158441663,0.07735832532246907,0.022125980048209173,0.6,50,300,10,4,0.05,0.7,"{'subsample': 0.6, 'num_leaves': 50, 'n_estimators': 300, 'min_child_samples': 10, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",0.3303975387804483,0.5009753323914711,0.4358644255570848,0.4224124322430014,0.07028472101100769,42,0.6071794370239518,0.5362286823369744,0.6084369121887059,0.5839483438498774,0.033746801153363835
8.34371550877889,0.19738193203468352,0.10183135668436687,0.011815005062814639,1.0,50,500,50,6,0.01,0.9,"{'subsample': 1.0, 'num_leaves': 50, 'n_estimators': 500, 'min_child_samples': 50, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",0.39563399611559324,0.5668408834601942,0.47958136359096804,0.48068541438891854,0.06989927879780575,33,0.6679231312139846,0.6133846754618024,0.6529931202806428,0.6447669756521432,0.023012502117253968
2.510153611501058,0.034182826723018776,0.05937767028808594,0.0015973687879645819,0.8,20,400,50,4,0.15,0.7,"{'subsample': 0.8, 'num_leaves': 20, 'n_estimators': 400, 'min_child_samples': 50, 'max_depth': 4, 'learning_rate': 0.15, 'colsample_bytree': 0.7}",0.3782595768875754,0.5726876533188348,0.5004414459597812,0.48379622538873046,0.08024282627161179,29,0.6959443671779574,0.6510528170000388,0.7179841511539915,0.6883271117773292,0.027850407630599327
7.8233879407246905,0.3141025849052771,0.11318620045979817,0.006030023265283723,0.7,50,500,50,7,0.15,0.9,"{'subsample': 0.7, 'num_leaves': 50, 'n_estimators': 500, 'min_child_samples': 50, 'max_depth': 7, 'learning_rate': 0.15, 'colsample_bytree': 0.9}",0.4533143632708506,0.6506189879903216,0.5528566562263428,0.5522633358291716,0.0805503683241862,12,0.8765844298239427,0.8597398379510273,0.8764577393774788,0.8709273357174828,0.007910924611916706
2.711323102315267,0.7501332728188852,0.05359204610188802,0.01414294205516877,0.7,50,200,20,6,0.1,0.9,"{'subsample': 0.7, 'num_leaves': 50, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",0.4365628809940517,0.6115111393287951,0.5412987002446293,0.5297909068558253,0.07188437593385448,20,0.7736916561919804,0.7406748770274403,0.7834375476600629,0.7659346936264946,0.018299168489129106
2.822718620300293,0.49283003534561737,0.05154879887898763,0.003596723194207146,0.9,20,200,10,8,0.02,0.7,"{'subsample': 0.9, 'num_leaves': 20, 'n_estimators': 200, 'min_child_samples': 10, 'max_depth': 8, 'learning_rate': 0.02, 'colsample_bytree': 0.7}",0.357698142675854,0.5233646645787005,0.45335168907846046,0.44480483211100497,0.0679025561269637,41,0.6303202154700269,0.59606088978967,0.6204794722063435,0.61562019248868,0.014402194243680649
3.8471391201019287,0.05278886344772427,0.08450587590535481,0.014205200929366639,0.6,50,500,30,4,0.05,0.9,"{'subsample': 0.6, 'num_leaves': 50, 'n_estimators': 500, 'min_child_samples': 30, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.36743504590623244,0.5401205048251112,0.47552512386195034,0.461026891531098,0.07124004485327744,36,0.6401875036131959,0.5847124891627344,0.6495580494443576,0.6248193474067626,0.028616683257014074
7.257676204045613,0.11031476764361761,0.09713880221048991,0.0046975825281462226,0.6,31,500,10,8,0.01,0.6,"{'subsample': 0.6, 'num_leaves': 31, 'n_estimators': 500, 'min_child_samples': 10, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.40675578838512183,0.5642485957455268,0.49502855008782043,0.48867764473948966,0.06445280749831873,26,0.6838938741299683,0.649119827607008,0.6781540055132759,0.670389235750084,0.0152211982664919
4.0515968799591064,0.07663525764642518,0.13220620155334473,0.0224765319934638,1.0,31,400,50,5,0.01,0.6,"{'subsample': 1.0, 'num_leaves': 31, 'n_estimators': 400, 'min_child_samples': 50, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.3255540378429238,0.4697808449005384,0.4147518252015189,0.4033622359816604,0.05942858473527384,46,0.5746788007686273,0.4925938731359707,0.5518001025968213,0.539690925500473,0.034587646769501025
5.902351538340251,0.1293398617711612,0.04814306894938151,0.0038529778906907595,0.6,70,200,20,10,0.15,1.0,"{'subsample': 0.6, 'num_leaves': 70, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 10, 'learning_rate': 0.15, 'colsample_bytree': 1.0}",0.508260812933566,0.680759604385797,0.6081735449496655,0.5990646540896761,0.07071627432986209,1,0.9036044875514176,0.8979520056761345,0.900889851583285,0.9008154482702792,0.002308215721770204
1.0216177304585774,0.3645719627460625,0.02253580093383789,0.003867703839808377,0.7,20,100,20,6,0.1,1.0,"{'subsample': 0.7, 'num_leaves': 20, 'n_estimators': 100, 'min_child_samples': 20, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.38904013325463416,0.5553939724154695,0.4985003378061533,0.480978147825419,0.06903463047475028,32,0.6879447880606147,0.6338285720000545,0.6729704105663066,0.6649145902089919,0.02281539526139169
1.8146123091379802,0.016762464736612796,0.04061810175577799,0.01343130588098789,0.9,50,200,10,4,0.02,0.6,"{'subsample': 0.9, 'num_leaves': 50, 'n_estimators': 200, 'min_child_samples': 10, 'max_depth': 4, 'learning_rate': 0.02, 'colsample_bytree': 0.6}",0.2620620877616048,0.4171882617735537,0.3740852602376531,0.3511118699242705,0.06538024657221084,49,0.5154946051178568,0.4311848851769732,0.49793988253979093,0.4815397909448736,0.03632037511157996
1.687436819076538,0.1282510044311308,0.025317827860514324,0.00599500736726884,0.7,50,100,20,5,0.05,0.6,"{'subsample': 0.7, 'num_leaves': 50, 'n_estimators': 100, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",0.3352544502073831,0.49697482624929656,0.43003851211472066,0.4207559295238001,0.06634754334287704,43,0.6057417968556831,0.5248671264183609,0.5873458629071563,0.5726515953937334,0.034613284568244376
2.7355000178019204,0.025840263344703955,0.02608656883239746,0.00399310877181504,1.0,70,100,30,8,0.01,0.9,"{'subsample': 1.0, 'num_leaves': 70, 'n_estimators': 100, 'min_child_samples': 30, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",0.30626543807891415,0.394546590337546,0.35146985179313506,0.35076062673653174,0.03604411843989364,50,0.5419098095821376,0.4713738565918766,0.499415940024887,0.5042332020663004,0.02899695014126843
