zone,model,mae,rmse,r2,train_time_sec
Boreal,Stacking (LGB+XGB+RF),4.2610128041943405,8.203378947402639,0.3574093473031613,45.69897150993347
Polar,Stacking (LGB+XGB+RF),5.161585967356484,11.761140887057387,0.2835392952965612,46.5027289390564
Subtropical,Stacking (LGB+XGB+RF),7.105647083681869,12.412663212358842,0.5864995715691321,47.60035681724548
Temperate,Stacking (LGB+XGB+RF),6.196679151414163,10.527371986221043,0.2626390741433535,42.07825231552124
Tropical,Stacking (LGB+XGB+RF),11.710826506036016,18.304496399402996,-0.06882296937702237,38.82460856437683
