Feature,Mean |SHAP|,Relative Importance
lat,8.313643422503613,38.92935634319253
lon,4.555815909669372,21.33300310925474
t2m,2.8557428704368037,13.372263660820666
month,1.3600798885916292,6.36869203397328
ps,1.2901530492096853,6.041253544022614
wind_speed,0.7369989317256094,3.451061415508526
blh,0.735260439918824,3.4429207768490815
year,0.5910660741193619,2.767718153448923
u10,0.49670092767397306,2.325845171212717
v10,0.42025613329737527,1.9678857917169266
